address,estimatedICX,stake,totalDelegated,balance,unstake,unstakeBlockHeight,remainingBlocks,totalBonded,total,staking_but_not_delegating,names
hx0cdf40498ef03e6a48329836c604aa4cea48c454,0.0,0.0,0.0,768877.8462642378,0.0,0.0,0.0,0.0,768877.8462642378,0.0,bithumb_2
hx14ea4bca6f205fecf677ac158296b7f352609871,0.0,0.0,0.0,20658.515085545052,0.0,0.0,0.0,0.0,20658.515085545052,0.0,latoken
hx1729b35b690d51e9944b2e94075acff986ea0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,binance_cold1
hx23cb1d823ef96ac22ae30c986a78bdbf3da976df,29430.479939286095,11356498.6963,11356498.6963,0.9959121258564975,0.0,0.0,0.0,0.0,11356499.692212125,0.0,bitvavo_cold
hx307c01535bfd1fb86b3b309925ae6970680eb30d,0.0,0.0,0.0,419284.9918063772,0.0,0.0,0.0,0.0,419284.9918063772,0.0,velic_hot
hx3881f2ba4e3265a11cf61dd68a571083c7c7e6a5,0.0,0.0,0.0,109705.8567919825,0.0,0.0,0.0,0.0,109705.8567919825,0.0,coinex
hx4a01996877ac535a63e0107c926fb60f1d33c532,0.0,0.0,0.0,794580.3831843005,0.0,0.0,0.0,0.0,794580.3831843005,0.0,upbit_hot3
hx562dc1e2c7897432c298115bc7fbcc3b9d5df294,0.0,0.0,0.0,59486404.47469217,0.0,0.0,0.0,0.0,59486404.47469217,0.0,upbit_cold
hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,0.0,0.0,0.0,813310.3130164817,0.0,0.0,0.0,0.0,813310.3130164817,0.0,upbit_hot1
hx68646780e14ee9097085f7280ab137c3633b4b5f,0.0,0.0,0.0,23791920.045096874,0.0,0.0,0.0,0.0,23791920.045096874,0.0,kraken_hot
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.0,0.0,0.0,2194064.126181008,0.0,0.0,0.0,0.0,2194064.126181008,0.0,bithumb_3
hx6eb81220f547087b82e5a3de175a5dc0d854a3cd,0.0,0.0,0.0,3580002.985,0.0,0.0,0.0,0.0,3580002.985,0.0,bithumb_1
hx85532472e789802a943bd34a8aeb86668bc23265,0.0,0.0,0.0,3227947.374065528,0.0,0.0,0.0,0.0,3227947.374065528,0.0,unkEx_c1
hx8d28bc4d785d331eb4e577135701eb388e9a469d,0.0,0.0,0.0,804140.1779278695,0.0,0.0,0.0,0.0,804140.1779278695,0.0,upbit_hot4
hx94a7cd360a40cbf39e92ac91195c2ee3c81940a6,14398.089574074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unkEx_c2
hx99cc8eb746de5885f5e5992f084779fc0c2c135b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,binance_cold2
hx9f0c84a113881f0617172df6fc61a8278eb540f5,0.0,50000000.0,0.0,22176770.547350653,0.0,0.0,0.0,0.0,72176770.54735065,50000000.0,binance_cold3
hxa390d24fdcba68515b492ffc553192802706a121,0.0,0.0,0.0,4610047.662915719,0.0,0.0,0.0,0.0,4610047.662915719,0.0,bitvavo_hot
hxa527f96d8b988a31083167f368105fc0f2ab1143,0.0,0.0,0.0,3852639.3763717758,0.0,0.0,0.0,0.0,3852639.3763717758,0.0,binance.us
hxb7f3d4bb2eb521f3c68f85bbc087d1e56a816fd6,0.0,0.0,0.0,752125.9415836941,0.0,0.0,0.0,0.0,752125.9415836941,0.0,crypto.com
hxbf90314546bbc3ed980454c9e2a9766160389302,0.0,0.0,0.0,50.00001994137636,0.0,0.0,0.0,0.0,50.00001994137636,0.0,upbit_hot_old
hxc4193cda4a75526bf50896ec242d6713bb6b02a3,0.0,0.0,0.0,47696172.100857295,0.0,0.0,0.0,0.0,47696172.100857295,0.0,binance_hot
hxd9fb974459fe46eb9d5a7c438f17ae6e75c0f2d1,0.0,0.0,0.0,3632989.374731475,0.0,0.0,0.0,0.0,3632989.374731475,0.0,huobi
hxe5327aade005b19cb18bc993513c5cfcacd159e9,0.0,0.0,0.0,7186.509401703079,0.0,0.0,0.0,0.0,7186.509401703079,0.0,unkEx_d1
hxf2b4e7eab4f14f49e5dce378c2a0389c379ac628,0.0,0.0,0.0,811467.6348989308,0.0,0.0,0.0,0.0,811467.6348989308,0.0,upbit_hot5
hxfdb57e23c32f9273639d6dda45068d85ee43fe08,0.0,0.0,0.0,805720.472431835,0.0,0.0,0.0,0.0,805720.472431835,0.0,upbit_hot2
hxff1c8ebad1a3ce1ac192abe49013e75db49057f8,0.0,0.0,0.0,6.80827918285975,0.0,0.0,0.0,0.0,6.80827918285975,0.0,velic_stave
