validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,36437825.23933831,2000000.0,38437825.23933831
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,2,18904112.294882484,1133900.1914,20038012.486282483
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,3,23869346.61039636,1108000.2696,22160005.392
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14291825.942581065,1000000.01,15291825.952581065
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,5,14379522.604430862,939049.6874,15318572.291830862
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,6,17469983.496137023,909034.3644,18180687.288
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,7,19139054.129817173,594822.7382,11896454.764
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,8,11968627.413451083,579865.5848,11597311.696
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,9,15480402.469297934,553600.4238,11072008.476
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,10,7164355.852777596,421706.8438,7586062.696577596
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,11,5166770.599878595,375000.0,5541770.599878595
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,12,6472232.358806735,364111.6199,6836343.978706735
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13,6801850.109956295,364082.1361,7165932.246056295
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,14,6865508.189773021,359086.405,7181728.1
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,15,9473897.133884873,353776.7439,7075534.878
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,16,7269302.134199955,325000.0,6500000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,17,5441492.749402513,319997.9963,5761490.745702513
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,18,6091810.561466158,310205.7649,6204115.298
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,19,6856881.75671957,288350.0,5767000.0
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),20,5482651.991134702,268544.6114,5370892.228
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,21,7251532.956034899,256000.0,5120000.0
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,22,5091477.701213652,235886.0,4717720.0
