validator,validator_name,cum_votes_update
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,36742195.8508962
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22258877.76583878
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,22228755.41160591
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,19368830.62383113
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,16804717.41490156
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,15947689.67990728
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,13903303.79975204
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,11190736.83934765
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,10259675.00137334
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,9292170.42766539
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,7474339.22419725
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,6825848.57744147
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,6797507.7649274
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),6541179.0445312
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,6510771.06805618
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,6373963.25999921
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,6315097.40803771
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,6301581.73193448
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,6021756.46138656
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,5689811.04041622
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,5530381.95447767
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,5505515.51291076
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4210732.99509884
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,3979352.76361396
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,3965840.37537249
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,3705536.17259282
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,3238445.82410441
hx31c429608c74501de13df5fea30bf1674460be50,HugoByte,3026876.22337643
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2918701.73988794
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,2823026.28729452
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,2774055.76063295
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2646645.81862712
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2442119.53110282
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,2426739.68983526
