validator,validator_name,cum_votes_update
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,38213.47415945
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,32598.87350475
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,31847.7582128
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,31331.20316413
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,31208.64284528
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,27041.88329858
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,26215.82790797
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,25937.3116081
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,25801.52312178
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,23088.69926347
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,22322.25368073
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,22191.15667961
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,21912.65324704
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],21255.93722297
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,21245.37363269
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,19147.39745837
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,18811.91957477
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,17858.38663472
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,14229.2151263
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,12497.97553489
hx0d0882a489794eeb9d176bcc80b664ff9d54e616,CCBR_POSTECH,11525.72046721
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,11308.37850474
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,9383.34214315
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,7480.97797886
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,6249.87927464
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,5599.9744
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,2999.5886
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,2861.83100217
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,0
