validator,validator_name,cum_votes_update
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,52548282.01226715
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37275102.80318673
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22897553.73592134
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,19150297.07343792
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,19021744.5611882
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,17362849.07710414
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,17246573.4407066
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,14544883.41961444
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,13857809.95584631
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,8465674.60836184
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,8052595.58888607
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,7579793.78490158
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,7074715.05088022
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,5686976.65900442
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,5535315.48154576
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5076943.97021606
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,4924135.56810929
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,4688807.17661077
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,4274232.6841267
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,3898255.73704887
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,3877950.52980746
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),3545636.66693943
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,3535497.98474002
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2884715.15839101
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Sesameseed,2726832.3282707
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,2499706.65699108
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2480980.44637215
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,2197873.8714267
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOWIZ,2169662.02366853
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2145047.31940451
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,2117049.20379622
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2037720.1816485
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1668844.42607597
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,1587976.16048083
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1378108.45440785
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,1303459.13376738
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,1243717.70970837
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,1243201.05067918
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,1219243.99646076
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,1212627.54743711
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,1196119.89695468
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,1187073.92059308
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,1091795.07146619
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,1037277.31851234
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,1036322.01753931
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,1029151.51677129
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,976727.5924591
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),955518.06264019
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),939522.076463
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,892818.52785644
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,878522.95892442
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,839222.20155895
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,834839.27748056
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,762345.11095176
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,747754.82005855
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,726705.46581444
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,723534.64840998
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,720741.44957411
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,678053.26329895
hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,Transform Group,677379.42830595
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,649187.09618113
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,TEMPO,648236.50255253
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),634749.28074536
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,628653.30969504
