validator,validator_name,cum_votes_update
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,75390.89318613
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,74452.86102034
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,72337.85580203
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,71133.45631121
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,66146.58319478
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,63740.87833742
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,60691.80021861
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,54945.03185701
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,53323.84176916
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,52709.76422375
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,46655.51475862
hx29fbc9cfb184d75d74cab33c70820a696998b596,NODE HODLER,43471.5000543
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,42576.24390042
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,41919.5492128
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,41313.46448561
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,38451.12945945
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,38316.53856872
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,32508.82579138
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,31922.71324528
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,31256.00173095
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,27041.88329858
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,25997.37090797
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,25936.7427081
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,25920.87932178
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,23817.31395837
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,22287.94198073
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,22255.76741384
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,22078.18424704
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],21779.06622297
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,21732.45030382
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,19622.24207477
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,18300.80043472
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,17089.58466347
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,15328.5218263
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,12497.97553489
hx0d0882a489794eeb9d176bcc80b664ff9d54e616,CCBR_POSTECH,11734.02396721
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,11666.21380815
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,9634.24503315
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,8495.17998944
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,7084.56301179
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,6317.21587464
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,5599.9744
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,2999.5886
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,2861.83100217
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,0
