validator,validator_name,cum_votes_update
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,53099299.98243863
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37109506.05358906
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22397937.05472996
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,19158362.78389277
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,18332281.38734451
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,17306775.90486287
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,16555869.99385541
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,14065823.3591945
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,13447017.53417455
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,13405996.18439619
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13399199.87309021
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,8265932.16685481
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,7358341.27570837
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,6617102.35592742
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,5957982.45306068
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,5615432.70188406
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5606809.78941032
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,5275646.87807189
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,5066481.06822112
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,5059337.02283983
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4760500.70237185
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,4745213.87753574
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,4594088.9229007
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),3873309.92483462
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOWIZ,2956465.66263663
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,2863768.82512834
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2823795.02592655
