date,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-12-30,hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,284.3583360033358,100,10,1.5792000000000002,13.659154391859298,2.714,2.843583360033358,0.55536%,4.80350%,0.95443%,1.00000%
2020-12-30,hx414742cdbec72d48568077742998810433afad1e,8133.044500000001,100,10,40.8696,245.21769999999998,80.0,81.33044500000001,0.50251%,3.01508%,0.98364%,1.00000%
2020-12-30,hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,15.149799999999981,100,10,0.0001,10.0,0.0001,0.1514979999999998,0.00066%,66.00747%,0.00066%,1.00000%
2020-12-30,hx34d02bb86519113b653ef5ed3a68de9cfff0f2ab,100.0,100,10,0.9999,1.0001,1.0,1.0,0.99990%,1.00010%,1.00000%,1.00000%
2020-12-30,hxc35919c430476b095652bc91056ba1baf0420f9e,4000.0,100,10,19.99999999999997,1040.0,20.0,40.0,0.50000%,26.00000%,0.50000%,1.00000%
2020-12-30,hxb0d886f01ca2697ce9961232a754bb3923142128,16475.14870000001,100,10,88.7016,630.8317,157.7947,164.75148700000008,0.53840%,3.82899%,0.95777%,1.00000%
2020-12-30,hx613b8c58b274bb7c9579ddc3a1a11a5bc1e02c58,21455.092450049502,100,10,1.0,21146.092450049506,1.0,214.55092450049503,0.00466%,98.55978%,0.00466%,1.00000%
2020-12-30,hx114049660809114582bfc83f66833560544bf877,2007.014900000002,81,8,19.1635,471.25600000000003,19.1711,24.777961728395084,0.95483%,23.48044%,0.95520%,1.23457%
2020-12-30,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,1162.798,67,6,1.0,220.17669999999998,5.0,17.355194029850747,0.08600%,18.93508%,0.43000%,1.49254%
2020-12-30,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.8802000000005,56,5,1.6433,1071.6487,89.49414999999999,130.783575,0.02244%,14.63225%,1.22195%,1.78571%
2020-12-30,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.7351,47,4,343.533,8685.472399999999,463.9852,1162.5475553191488,0.62872%,15.89589%,0.84917%,2.12766%
2020-12-30,hxd2fe38548f3f4a8c545112582c668913a85d4b93,83294.7481,44,4,55.0737,3055.8755,1925.4918499999999,1893.0624568181818,0.06612%,3.66875%,2.31166%,2.27273%
2020-12-30,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8405999999995,42,4,19.9258,131.6602,44.2792,52.639061904761896,0.90128%,5.95521%,2.00282%,2.38095%
2020-12-30,hxaf0882e1856ba71a69408edea4c244f706ac622e,13376.003800000004,37,3,121.96499999999999,397.3499,397.3498,361.51361621621635,0.91182%,2.97062%,2.97062%,2.70270%
2020-12-30,hxf7680b84aed887350194c26bd98996312020379f,51803.99999999999,36,3,0.0,2359.999999999999,1397.2702702702002,1328.3076923076922,0.00000%,4.55563%,2.69722%,2.56410%
2020-12-30,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,245543.2931,34,3,2392.6673,10793.346599999999,7511.0377,7221.8615617647065,0.97444%,4.39570%,3.05895%,2.94118%
2020-12-30,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877272727273,3.02078%,3.33507%,3.02078%,3.03030%
2020-12-30,hxed5e0d1bade8dc01084d0a68e0d370c41c69465d,20696.129200000007,32,3,206.96099999999996,10141.1079,413.92240000000004,646.7540375000002,1.00000%,49.00002%,2.00000%,3.12500%
2020-12-30,hxbfa2e0c0454a1d36d1ed8ccc6ac4d3a333366c47,365.511,31,3,3.2604,220.97510000000003,3.6225,11.79067741935484,0.89201%,60.45648%,0.99108%,3.22581%
2020-12-30,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6187.327399999999,31,3,60.3395,809.1919,120.6791,199.5912064516129,0.97521%,13.07821%,1.95042%,3.22581%
2020-12-30,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,50493.799900000005,28,2,822.3642000000001,5744.059,1672.2101500000008,1803.3499964285716,1.62864%,11.37577%,3.31171%,3.57143%
2020-12-30,hxe9c738b80a7fe77544ee9c23ac9c72bcc53bef93,98.98000000000002,28,2,1.1245313793370355,7.595743533781221,3.1931905368318283,3.5350000000000006,1.13612%,7.67402%,3.22610%,3.57143%
2020-12-30,hx3aee90a6c26501fc476315be18a07712178188da,2519.02,26,2,50.0,719.0783,70.0,96.88538461538461,1.98490%,28.54595%,2.77886%,3.84615%
2020-12-30,hx2e4309caac07eff585c4b0c12e787c50fcbc3e05,1204.3280000000002,26,2,15.6951,75.0775,44.8768,46.3203076923077,1.30322%,6.23397%,3.72629%,3.84615%
2020-12-30,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.875550000000004,1.99999%,8.00001%,4.00000%,3.84615%
2020-12-30,hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,59647.63,26,2,717.3066,5730.1128,1599.30305,2294.1396153846154,1.20257%,9.60661%,2.68125%,3.84615%
2020-12-30,hxf159b2029f3d6e8823157033ada47b76e8903a4f,636.4773019497557,25,2,1.371961950484824,64.93149732357978,20.76282793422435,25.459092077990228,0.21556%,10.20170%,3.26215%,4.00000%
2020-12-30,hxcaf3a1285478520ad520d34d470aed54d49c4774,23577.354499999998,24,2,301.7483,3702.6113,845.68175,982.3897708333333,1.27982%,15.70410%,3.58684%,4.16667%
2020-12-30,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,10191.884899999997,23,2,196.18959999999998,810.0657,402.61150000000004,443.1254304347825,1.92496%,7.94814%,3.95031%,4.34783%
2020-12-30,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,748.9732000000001,23,2,10.0,97.28689999999999,32.4773,32.56405217391305,1.33516%,12.98937%,4.33624%,4.34783%
2020-12-30,hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,7670.724140245805,23,2,139.96104842816473,730.2312066876341,261.48437757406055,333.5097452280785,1.82461%,9.51972%,3.40886%,4.34783%
2020-12-30,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.95843478260869,2.00000%,15.00000%,3.00000%,4.34783%
2020-12-30,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.04330000000004,23,2,6.2176,86.089,20.0,20.784491304347828,1.30064%,18.00862%,4.18372%,4.34783%
2020-12-30,hx6aee4d81a36e730ef217616542ed7c654829ead2,2999.0093,23,2,59.9801,180.2131,120.1421,130.39170869565217,2.00000%,6.00909%,4.00606%,4.34783%
2020-12-30,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,38556.65840000001,22,2,745.6016,3898.2995,1864.0039,1752.5753818181822,1.93378%,10.11057%,4.83445%,4.54545%
2020-12-30,hxd6b8a685743ab7134eeb545947741817e0caf4af,5163.6796,22,2,51.99999999999994,1396.6519000000003,52.0,234.7127090909091,1.00703%,27.04761%,1.00703%,4.54545%
2020-12-30,hx4b3aec7d9d401557939d392e03721025eee2a6a7,215108.98639999997,22,2,5205.8643999999995,13034.034199999998,7900.124050000002,9777.681199999999,2.42011%,6.05927%,3.67261%,4.54545%
2020-12-30,hx349502ce9e2e1f290769bfa4d2a878a0cfb0050f,4349.36,22,2,197.0,212.35999999999993,197.0,197.6981818181818,4.52940%,4.88256%,4.52940%,4.54545%
2020-12-30,hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,1017.9877,22,2,45.9877,49.0,46.0,46.27216818181818,4.51751%,4.81342%,4.51872%,4.54545%
2020-12-30,hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2283.9844000000007,21,2,6.5012,627.0958,79.4095,108.76116190476193,0.28464%,27.45622%,3.47680%,4.76190%
2020-12-30,hx59c8c1240d91dbfe0d8a71095d0047c59a1fff1e,35570.888,21,2,5.0,35424.8244,6.0636,1693.8518095238094,0.01406%,99.58937%,0.01705%,4.76190%
